#deck:IELTSWords
#notetype:Cloze
#separator:|
#columns:Answer|Example|OriginalExample|TranslationOfExample|Definition|ChineseDefinition|Word|PartOfSpeech|Synonyms|Antonyms

undermine|Criticism can {{c1::undermine}} their confidence.|Criticism can undermine their confidence.|批评可能会削弱他们的信心。|To lessen the effectiveness or power of something, often gradually or insidiously.|逐渐或暗中削弱某事物的效力或力量。|undermine|verb|weaken, sabotage|strengthen, bolster
eliminate|We need to {{c1::eliminate}} unnecessary expenses.|We need to eliminate unnecessary expenses.|我们需要消除不必要的开支。|To remove or get rid of something.|去除某物或摆脱之。|eliminate|verb|remove, eradicate|keep, retain
volcano|Mount Fuji is a famous {{c1::volcano}} in Japan.|Mount Fuji is a famous volcano in Japan.|富士山是日本著名的火山。|A mountain or hill with a crater or vent through which lava, rock fragments, and gas erupt.|一种山丘或高地，中有火山口或通道会喷出岩浆、石块和气体。|volcano|noun||
exclude|They decided to {{c1::exclude}} him from the meeting.|They decided to exclude him from the meeting.|他们决定不让他参加会议。|To leave out or not include something or someone.|将某事或某人排除或不包括在内。|exclude|verb|omit, keep out|include, admit
laundry|I have to do the {{c1::laundry}} this afternoon.|I have to do the laundry this afternoon.|我今天下午得洗衣服。|Clothes and linens that need to be washed or that have been newly washed.|需要洗的或刚洗干净的衣物和床单。|laundry|noun|washing|
apparently|{{c1::apparently}}, he left without saying goodbye.|Apparently, he left without saying goodbye.|看起来，他没有和任何人道别就离开了。|As far as one knows or can see; seemingly.|据所知或所见；看起来似乎。|apparently|adverb|seemingly, evidently|
gelatin|Use {{c1::gelatin}} to set the dessert mix.|Use gelatin to set the dessert mix.|使用明胶来使甜点混合物凝固。|A virtually colorless and tasteless water-soluble protein prepared from collagen.|由胶原制成的几乎无色无味、可溶于水的蛋白质。|gelatin|noun|jelly, gel|
stimulate|The government plans to {{c1::stimulate}} the economy with new policies.|The government plans to stimulate the economy with new policies.|政府计划用新政策来刺激经济发展。|To excite to greater activity or growth.|使某事物更活跃或更具成长性。|stimulate|verb|encourage, boost|stifle, suppress
fuel|We need to buy more {{c1::fuel}} for the car.|We need to buy more fuel for the car.|我们需要为汽车购买更多的燃料。|Material such as coal, gas, or oil that is burned to produce heat or power.|如煤、气或油等可燃烧以产生热量或能量的物质。|fuel|noun|energy source, propellant|
fueled|They {{c1::fueled}} the generator before the storm hit.|They fueled the generator before the storm hit.|暴风雨来临前他们为发电机加满了燃料。|To supply or power with fuel.|为某物提供燃料或动力。|fuel|verb|power, energize|
operational|The new security system is now fully {{c1::operational}}.|The new security system is now fully operational.|新的安全系统现在已全面投入使用。|In or ready for use; relating to the operation of a device or system.|处于可用或已经可以使用的状态；与设备或系统运作相关。|operational|adjective|functional|
image|He shared an {{c1::image}} of the painting online.|He shared an image of the painting online.|他在网上分享了那幅画的图像。|A visual representation of something, such as a photo or drawing.|对某物的视觉呈现，如照片或图画。|image|noun|picture, illustration|
distribute|The office will {{c1::distribute}} masks to all employees.|The office will distribute masks to all employees.|办公室将给所有员工发放口罩。|To give out or deliver something to a number of people.|将某物分发或交付给一群人。|distribute|verb|hand out, allocate|collect, gather
notice|Did you {{c1::notice}} any changes in her behavior?|Did you notice any changes in her behavior?|你注意到她的行为有什么变化吗？|To become aware of (something or someone) by seeing, hearing, or feeling.|通过看、听或感受而留意到某事或某人。|notice|verb|observe, detect|
notice|They put a {{c1::notice}} on the door about the closure.|They put a notice on the door about the closure.|他们在门上贴了关于停业的通知。|A written or printed announcement.|书面或印刷的通知或公告。|notice|noun|announcement, warning|
intend|I {{c1::intend}} to finish my work by Friday.|I intend to finish my work by Friday.|我打算在周五之前完成我的工作。|To have (a course of action) as one's purpose or objective; plan.|将（某项行动）作为目的或目标；计划。|intend|verb|plan, aim|
empirical|This study provides {{c1::empirical}} evidence for the theory.|This study provides empirical evidence for the theory.|这项研究为该理论提供了实证证据。|Based on observation or experience rather than theory or pure logic.|基于观察或经验，而非理论或纯逻辑。|empirical|adjective|observational, experimental|theoretical, speculative
probation|He was released on {{c1::probation}} for good behavior.|He was released on probation for good behavior.|他因表现良好而被缓刑释放。|A period of time in which a person who has committed a crime is allowed to stay out of prison if that person behaves well.|对于犯了罪但表现良好而被允许不入狱的一段观察期。|probation|noun|trial period, conditional release|
depression|He sought help for his clinical {{c1::depression}}.|He sought help for his clinical depression.|他因临床抑郁而寻求帮助。|Feelings of severe despondency and dejection; a mental health disorder.|严重的沮丧和忧愁情绪；一种心理健康障碍。|depression|noun|melancholy, despair|happiness, contentment
depression|The Great {{c1::depression}} had a huge impact worldwide.|The Great Depression had a huge impact worldwide.|大萧条对全世界都产生了巨大影响。|A long and severe recession in an economy or market.|经济或市场长时间且严重的衰退。|depression|noun|slump, downturn|
proximity|The {{c1::proximity}} of the supermarket makes shopping convenient.|The proximity of the supermarket makes shopping convenient.|超市的近距离使购物很方便。|Nearness in space, time, or relationship.|在空间、时间或关系上的接近或靠近。|proximity|noun|closeness, nearness|distance, remoteness
attention|She paid close {{c1::attention}} to the lecture.|She paid close attention to the lecture.|她专心听讲。|The act of focusing the mind or senses on something.|将思维或感官集中于某事物的行为。|attention|noun|focus, concentration|distraction
factual|His report was purely {{c1::factual}}, containing no opinions.|His report was purely factual, containing no opinions.|他的报告全是事实，没有任何个人观点。|Concerned with what is actually the case rather than interpretations.|关注事实本身，而非解读或推测。|factual|adjective|actual, real|fictional
acclaim|His latest book received critical {{c1::acclaim}}.|His latest book received critical acclaim.|他的最新著作获得了高度评价。|Public enthusiastic approval or praise.|公众的热烈认可或赞扬。|acclaim|noun|praise, applause|criticism
acclaimed|The critics {{c1::acclaimed}} her performance as extraordinary.|The critics acclaimed her performance as extraordinary.|评论家称赞她的表演十分出色。|To praise someone or something publicly in a strong, enthusiastic way.|用强烈且热情的方式公开赞扬某人或某事。|acclaim|verb|hail, commend|condemn
carries|He always {{c1::carries}} his laptop in a backpack.|He always carries his laptop in a backpack.|他总是把笔记本电脑放在背包里携带。|To support and move (someone or something) from one place to another.|从一个地方到另一个地方搬运或运送某人或某物。|carry|verb|transport, bear|drop
